show_id,type,title,release_year,year_added,rating,country,country_single
s1,TV Show,3%,2020,2020,TV-MA,Brazil,Brazil
s10,Movie,1920,2008,2017,TV-MA,India,India
s100,Movie,3 Heroines,2016,2019,TV-PG,Indonesia,Indonesia
s1000,Movie,Blue Mountain State: The Rise of Thadland,2016,2016,R,United States,United States
s1001,TV Show,Blue Planet II,2017,2018,TV-G,United Kingdom,United Kingdom
s1002,Movie,Blue Ruin,2013,2019,R,"United States, France",United States
s1002,Movie,Blue Ruin,2013,2019,R,"United States, France",France
s1003,Movie,Blue Streak,1999,2021,PG-13,"Germany, United States",Germany
s1003,Movie,Blue Streak,1999,2021,PG-13,"Germany, United States",United States
s1004,Movie,Blue Valentine,2010,2018,R,United States,United States
s1005,Movie,BluffMaster!,2005,2021,TV-14,India,India
s1006,Movie,Blurred Lines: Inside the Art World,2017,2017,TV-MA,Canada,Canada
s1007,TV Show,BNA,2020,2020,TV-14,Japan,Japan
s1008,Movie,BNK48: Girls Don't Cry,2018,2019,TV-14,Thailand,Thailand
s1009,Movie,Bo Burnham: Make Happy,2016,2016,TV-MA,United States,United States
s101,Movie,3 Idiots,2009,2019,PG-13,India,India
s1010,Movie,Bo Burnham: what.,2013,2018,TV-MA,United States,United States
s1011,TV Show,Bo on the Go!,2007,2019,TV-Y,Canada,Canada
s1012,Movie,Bob Lazar: Area 51 & Flying Saucers,2018,2019,TV-MA,United States,United States
s1014,Movie,Bob's Broken Sleigh,2015,2015,TV-G,Canada,Canada
s1015,Movie,Bobbi Jene,2017,2018,TV-MA,"Denmark, Sweden, Israel, United States",Denmark
s1015,Movie,Bobbi Jene,2017,2018,TV-MA,"Denmark, Sweden, Israel, United States",Sweden
s1015,Movie,Bobbi Jene,2017,2018,TV-MA,"Denmark, Sweden, Israel, United States",Israel
s1015,Movie,Bobbi Jene,2017,2018,TV-MA,"Denmark, Sweden, Israel, United States",United States
s1016,Movie,Bobbleheads The Movie,2020,2020,PG,United States,United States
s1017,Movie,Bobby,1973,2019,TV-14,India,India
s1018,Movie,Bobby Jasoos,2014,2020,TV-14,India,India
s102,Movie,3 Seconds Divorce,2018,2019,TV-PG,Canada,Canada
s1020,Movie,Bobby Robson: More Than a Manager,2018,2018,TV-14,United Kingdom,United Kingdom
s1021,Movie,Bobby Sands: 66 Days,2016,2017,TV-14,"Ireland, United Kingdom",Ireland
s1021,Movie,Bobby Sands: 66 Days,2016,2017,TV-14,"Ireland, United Kingdom",United Kingdom
s1023,Movie,Bodyguard,2011,2020,TV-14,India,India
s1024,Movie,Bogda,2018,2019,TV-PG,India,India
s1025,Movie,Boi,2018,2019,TV-MA,Spain,Spain
s1026,TV Show,BoJack Horseman,2020,2019,TV-MA,United States,United States
s1027,Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014,2014,TV-MA,United States,United States
s1028,Movie,Bokeh,2017,2017,TV-14,"United States, Iceland",United States
s1028,Movie,Bokeh,2017,2017,TV-14,"United States, Iceland",Iceland
s1029,TV Show,Bolívar,2019,2019,TV-MA,Colombia,Colombia
s103,Movie,3 Türken & ein Baby,2015,2016,TV-MA,Germany,Germany
s1030,Movie,Bollywood Calling,2001,2019,TV-MA,India,India
s1031,Movie,Bolt,2008,2018,PG,United States,United States
s1032,Movie,Bomb Scared,2017,2017,TV-MA,Spain,Spain
s1033,Movie,Bombairiya,2018,2019,TV-MA,"United Arab Emirates, United Kingdom, India",United Arab Emirates
s1033,Movie,Bombairiya,2018,2019,TV-MA,"United Arab Emirates, United Kingdom, India",United Kingdom
s1033,Movie,Bombairiya,2018,2019,TV-MA,"United Arab Emirates, United Kingdom, India",India
s1034,Movie,Bombay Talkies,2013,2020,TV-MA,India,India
s1035,Movie,Bombshell,2016,2016,TV-MA,New Zealand,New Zealand
s1036,Movie,Bombshell: The Hedy Lamarr Story,2017,2018,TV-14,United States,United States
s1037,Movie,Bon Bini Holland,2015,2016,TV-MA,Netherlands,Netherlands
s1038,Movie,Bon Cop Bad Cop 2,2017,2017,TV-MA,Canada,Canada
s1039,Movie,"Bon Cop, Bad Cop",2006,2017,TV-MA,Canada,Canada
s104,Movie,30 Days of Luxury,2016,2019,TV-14,Egypt,Egypt
s1041,TV Show,BONDING,2019,2019,TV-MA,United States,United States
s1042,Movie,Bonnie and Clyde,1967,2021,R,United States,United States
s1043,TV Show,Bonus Family,2019,2019,TV-MA,Sweden,Sweden
s1044,TV Show,Booba,2019,2020,TV-Y7,Russia,Russia
s1045,TV Show,Bookmarks,2020,2020,TV-Y,United States,United States
s1046,Movie,Boom,2003,2018,TV-MA,India,India
s1048,TV Show,Border Security: America's Front Line,2018,2020,TV-14,Canada,Canada
s105,Movie,30 Minutes or Less,2011,2021,R,United States,United States
s1050,TV Show,Borderliner,2017,2018,TV-MA,"Norway, Germany, Sweden",Norway
s1050,TV Show,Borderliner,2017,2018,TV-MA,"Norway, Germany, Sweden",Germany
s1050,TV Show,Borderliner,2017,2018,TV-MA,"Norway, Germany, Sweden",Sweden
s1051,TV Show,Bordertown,2019,2020,TV-MA,"Finland, France",Finland
s1051,TV Show,Bordertown,2019,2020,TV-MA,"Finland, France",France
s1052,TV Show,Borgen,2012,2020,TV-MA,Denmark,Denmark
s1053,TV Show,Borges,2018,2018,TV-MA,Brazil,Brazil
