show_id,type,title,release_year,year_added,rating,audience_group,genre
s1,TV Show,3%,2020,2020,TV-MA,Adults,International TV Shows
s1,TV Show,3%,2020,2020,TV-MA,Adults,TV Dramas
s1,TV Show,3%,2020,2020,TV-MA,Adults,TV Sci-Fi & Fantasy
s10,Movie,1920,2008,2017,TV-MA,Adults,Horror Movies
s10,Movie,1920,2008,2017,TV-MA,Adults,International Movies
s10,Movie,1920,2008,2017,TV-MA,Adults,Thrillers
s100,Movie,3 Heroines,2016,2019,TV-PG,Family,Dramas
s100,Movie,3 Heroines,2016,2019,TV-PG,Family,International Movies
s100,Movie,3 Heroines,2016,2019,TV-PG,Family,Sports Movies
s1000,Movie,Blue Mountain State: The Rise of Thadland,2016,2016,R,Adults,Comedies
s1001,TV Show,Blue Planet II,2017,2018,TV-G,Kids,British TV Shows
s1001,TV Show,Blue Planet II,2017,2018,TV-G,Kids,Docuseries
s1001,TV Show,Blue Planet II,2017,2018,TV-G,Kids,Science & Nature TV
s1002,Movie,Blue Ruin,2013,2019,R,Adults,Independent Movies
s1002,Movie,Blue Ruin,2013,2019,R,Adults,Thrillers
s1003,Movie,Blue Streak,1999,2021,PG-13,Teens,Action & Adventure
s1003,Movie,Blue Streak,1999,2021,PG-13,Teens,Comedies
s1004,Movie,Blue Valentine,2010,2018,R,Adults,Dramas
s1004,Movie,Blue Valentine,2010,2018,R,Adults,Independent Movies
s1004,Movie,Blue Valentine,2010,2018,R,Adults,Romantic Movies
s1005,Movie,BluffMaster!,2005,2021,TV-14,Teens,Comedies
s1005,Movie,BluffMaster!,2005,2021,TV-14,Teens,International Movies
s1005,Movie,BluffMaster!,2005,2021,TV-14,Teens,Romantic Movies
s1006,Movie,Blurred Lines: Inside the Art World,2017,2017,TV-MA,Adults,Documentaries
s1007,TV Show,BNA,2020,2020,TV-14,Teens,Anime Series
s1007,TV Show,BNA,2020,2020,TV-14,Teens,International TV Shows
s1008,Movie,BNK48: Girls Don't Cry,2018,2019,TV-14,Teens,Documentaries
s1008,Movie,BNK48: Girls Don't Cry,2018,2019,TV-14,Teens,International Movies
s1008,Movie,BNK48: Girls Don't Cry,2018,2019,TV-14,Teens,Music & Musicals
s1009,Movie,Bo Burnham: Make Happy,2016,2016,TV-MA,Adults,Music & Musicals
s1009,Movie,Bo Burnham: Make Happy,2016,2016,TV-MA,Adults,Stand-Up Comedy
s101,Movie,3 Idiots,2009,2019,PG-13,Teens,Comedies
s101,Movie,3 Idiots,2009,2019,PG-13,Teens,Dramas
s101,Movie,3 Idiots,2009,2019,PG-13,Teens,International Movies
s1010,Movie,Bo Burnham: what.,2013,2018,TV-MA,Adults,Stand-Up Comedy
s1011,TV Show,Bo on the Go!,2007,2019,TV-Y,Kids,Kids' TV
s1012,Movie,Bob Lazar: Area 51 & Flying Saucers,2018,2019,TV-MA,Adults,Documentaries
s1013,TV Show,Bob Ross: Beauty Is Everywhere,1991,2016,TV-G,Kids,TV Shows
s1014,Movie,Bob's Broken Sleigh,2015,2015,TV-G,Kids,Children & Family Movies
s1015,Movie,Bobbi Jene,2017,2018,TV-MA,Adults,Documentaries
s1016,Movie,Bobbleheads The Movie,2020,2020,PG,Family,Children & Family Movies
s1016,Movie,Bobbleheads The Movie,2020,2020,PG,Family,Comedies
s1017,Movie,Bobby,1973,2019,TV-14,Teens,Classic Movies
s1017,Movie,Bobby,1973,2019,TV-14,Teens,Dramas
s1017,Movie,Bobby,1973,2019,TV-14,Teens,International Movies
s1018,Movie,Bobby Jasoos,2014,2020,TV-14,Teens,Comedies
s1018,Movie,Bobby Jasoos,2014,2020,TV-14,Teens,Dramas
s1018,Movie,Bobby Jasoos,2014,2020,TV-14,Teens,International Movies
s1019,TV Show,Bobby Kennedy for President,2018,2018,TV-MA,Adults,Docuseries
s102,Movie,3 Seconds Divorce,2018,2019,TV-PG,Family,Documentaries
s102,Movie,3 Seconds Divorce,2018,2019,TV-PG,Family,Faith & Spirituality
s1020,Movie,Bobby Robson: More Than a Manager,2018,2018,TV-14,Teens,Documentaries
s1020,Movie,Bobby Robson: More Than a Manager,2018,2018,TV-14,Teens,International Movies
s1020,Movie,Bobby Robson: More Than a Manager,2018,2018,TV-14,Teens,Sports Movies
s1021,Movie,Bobby Sands: 66 Days,2016,2017,TV-14,Teens,Documentaries
s1022,TV Show,Boca Juniors Confidential,2018,2018,TV-PG,Family,Docuseries
s1022,TV Show,Boca Juniors Confidential,2018,2018,TV-PG,Family,International TV Shows
s1022,TV Show,Boca Juniors Confidential,2018,2018,TV-PG,Family,Spanish-Language TV Shows
s1023,Movie,Bodyguard,2011,2020,TV-14,Teens,Action & Adventure
s1023,Movie,Bodyguard,2011,2020,TV-14,Teens,Comedies
s1023,Movie,Bodyguard,2011,2020,TV-14,Teens,International Movies
s1024,Movie,Bogda,2018,2019,TV-PG,Family,Dramas
